CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
REE,57.7,50.3,54,53.8,"5,400",53.9,"5,200",54,"4,500",54,"10,800",0.00,0.0%,54.3,"7,800",54.4,"16,600",54.5,"112,400","415,500",54.8,53.9,,,
RIC,18.4,16,17.2,16.2,300,16.9,"3,700",17,700,17,"3,000",-0.20,-1.2%,17.8,600,17.85,"5,100",17.95,100,"11,300",17.85,16.15,,400,"4,938,321"
ROS,5.83,5.07,5.45,5.35,"300,500",5.36,"161,700",5.37,"13,800",5.37,"419,200",-0.08,-1.5%,5.38,"15,100",5.39,"65,700",5.4,"77,800","14,165,700",5.5,5.35,"39,500","595,000","264,843,317"
S4A,28.85,25.15,27,26.3,100,26.5,"2,000",26.6,"1,000",,,,,27.2,500,27.4,300,27.45,100,,,,,,"20,649,620"
SAB,166.5,144.9,155.7,155,"4,600",155.1,"12,100",155.2,200,155.2,"8,600",-0.50,-0.3%,155.6,500,155.7,900,155.8,100,"100,900",157.1,155.1,"30,400","79,800","239,227,649"
SAM,10.55,9.21,9.9,9.69,"1,500",9.7,"2,300",9.75,"1,700",9.75,"4,300",-0.15,-1.5%,9.8,"6,800",9.83,"3,200",9.84,500,"120,500",9.85,9.69,,500,"168,720,444"
SAV,25.65,22.35,24,23.8,"4,500",23.85,"2,300",23.9,600,24.5,100,0.50,2.1%,24.5,"2,300",24.55,"2,000",24.6,"2,700","3,700",25.15,23.8,,,"886,945"
SBA,16.95,14.75,15.85,15.6,"2,800",15.65,"5,900",15.7,200,15.9,100,0.05,0.3%,15.85,"1,000",15.9,"4,500",15.95,"1,500","13,200",15.9,15.6,,,"29,497,529"
SBT,19.95,17.35,18.65,18.9,"13,700",18.95,100,19,300,19.1,"239,800",0.45,2.4%,19.1,"75,200",19.15,"53,100",19.2,"275,300","3,643,300",19.2,18.6,"46,900","1,100","561,979,197"
SBV,15.15,13.25,14.2,14.35,"1,900",14.4,"1,500",14.5,"1,300",14.5,"2,100",0.30,2.1%,14.55,"3,200",14.6,"1,200",14.8,300,"78,100",14.5,14.2,,,"9,280,834"
SC5,22.05,19.25,20.65,20.3,"5,200",20.35,"4,400",20.5,300,20.4,100,-0.25,-1.2%,21.1,100,21.75,200,21.8,100,200,20.5,20.4,,,"6,708,275"
SCD,21.9,19.1,20.5,19.55,100,19.6,500,19.65,100,20.4,200,-0.10,-0.5%,20.5,300,20.8,500,20.85,"1,800","1,100",20.4,20.4,,,"3,513,540"
SCR,11.35,9.91,10.65,10.65,"370,300",10.7,"412,700",10.75,"148,600",10.75,"432,400",0.10,0.9%,10.8,"35,500",10.85,"94,900",10.9,"219,000","14,559,800",11.1,10.5,400,"169,100","174,639,712"
SCS,148.1,128.9,138.5,135.8,100,136,"1,000",136.1,100,136.1,"1,000",-2.40,-1.7%,137.9,100,138,100,138.5,"2,100","17,700",139,136,"7,900","16,000","13,129,584"
SFC,25.65,22.35,24,22.4,100,23,300,23.5,100,,,,,25.6,100,25.65,100,,,,,,,,"5,432,343"
SFG,10.25,8.92,9.59,9.52,700,9.55,"1,700",9.56,"1,000",9.6,500,0.01,0.1%,9.6,"4,300",9.69,"2,100",9.7,800,"8,100",9.8,9.59,,,"23,112,522"
SFI,43.9,38.2,41.05,41.1,"6,100",41.2,900,41.3,400,41.3,800,0.25,0.6%,41.4,"1,100",41.5,"1,300",41.9,500,"30,200",41.3,41,"8,100",,"6,228,364"
SGN,72.6,63.2,67.9,67.1,"2,000",67.2,"1,800",67.3,200,67.3,100,-0.60,-0.9%,67.8,500,67.9,"2,900",68,"2,300","4,400",67.9,67,"1,200",,"9,351,221"
SGR,22,19.2,20.6,21.5,"1,200",21.95,200,22,"4,700",22,300,1.40,6.8%,,,,,,,"125,600",22,20.1,,,"29,396,925"
SGT,18.15,15.85,17,17.2,"3,800",17.25,"1,200",17.3,"5,400",17.55,"4,200",0.55,3.2%,17.55,300,17.6,"2,900",17.7,"3,100","190,800",17.7,17.05,"6,400",,"27,690,944"
