CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
VIB,44.9,39.1,42,41.55,800,41.6,"23,400",41.65,"3,000",41.7,"56,100",-0.30,-0.7%,41.7,"4,200",41.75,"3,700",41.8,"6,300","1,293,000",42.25,41.7,"53,200","1,800","119,582"
VIC,121.9,106.1,114,113.1,"3,300",113.2,"8,500",113.3,"4,000",113.3,"94,700",-0.70,-0.6%,113.4,"1,900",113.5,"17,300",113.6,"2,600","3,021,900",115.9,113.3,"119,900","414,600","1,175,508,222"
VID,9.63,8.37,9,8.9,"2,400",8.91,"1,400",8.92,"1,000",9.3,200,0.30,3.3%,9.3,"2,900",9.39,"3,000",9.58,100,"2,500",9.3,8.91,,,"17,248,593"
VIP,8.19,7.13,7.66,7.72,"1,200",7.73,"1,100",7.74,"2,000",7.74,"32,400",0.08,1.0%,7.75,"1,300",7.77,"2,600",7.78,"4,400","648,400",7.8,7.59,"11,200",,"31,913,317"
VIS,18.4,16,17.2,16.7,"8,200",16.75,100,16.8,200,17.05,100,-0.15,-0.9%,17.1,"3,100",17.2,800,17.25,"5,300","2,900",17.25,16.7,,,"19,114,539"
VIX,24.3,21.2,22.75,23.05,"2,900",23.1,"33,700",23.15,"10,100",23.2,"147,200",0.45,2.0%,23.2,"21,200",23.25,"13,500",23.3,"21,000","3,358,100",23.9,23,600,"8,300","56,419,040"
VJC,124.6,108.4,116.5,117.1,"3,800",117.2,"1,500",117.3,"1,400",117.4,"13,300",0.90,0.8%,117.4,"1,300",117.5,"7,200",117.6,"3,100","474,000",117.5,116,"97,200","4,100","63,258,254"
VMD,27.1,23.6,25.35,24.5,"2,200",24.65,200,24.7,"1,300",24.7,100,-0.65,-2.6%,25.2,100,25.3,300,25.35,900,"1,300",25,24.7,200,,"7,333,550"
VNE,8.2,7.14,7.67,7.66,500,7.67,"4,900",7.68,"3,000",7.7,"1,100",0.03,0.4%,7.7,"20,100",7.74,"1,000",7.75,"14,100","187,000",7.82,7.67,,"4,600","38,253,772"
VNG,13.35,11.65,12.5,12.35,"9,000",12.4,"1,800",12.45,"3,800",12.5,"30,700",0.00,0.0%,12.5,"10,600",12.55,"2,800",12.6,"4,200","202,500",12.5,12.3,"6,200","9,400","47,430,094"
VNL,23.5,20.5,22,21.75,"1,000",21.8,"1,000",21.85,"1,500",22,900,0.00,0.0%,22,900,22.2,500,22.3,"3,000","78,700",23.1,21.7,,"14,100","3,720,190"
VNM,92.6,80.6,86.6,87,"60,600",87.1,"3,700",87.2,"18,400",87.2,"30,500",0.60,0.7%,87.3,"3,300",87.4,"17,700",87.5,"23,300","3,960,600",88.4,86.6,"784,700","1,711,200","937,068,073"
VNS,9.63,8.37,9,8.81,100,8.82,"1,000",9,500,,,,,9.23,100,9.24,"1,100",9.29,100,,,,,,"19,815,963"
VOS,9.95,8.65,9.3,9.92,"1,300",9.94,"64,000",9.95,"601,900",9.95,"26,700",0.65,7.0%,,,,,,,"3,157,000",9.95,9.01,"39,200","13,700","66,884,650"
VPB,66.1,57.5,61.8,60.4,"48,800",60.5,"556,700",60.6,"25,400",60.6,"661,800",-1.20,-1.9%,60.8,"24,000",60.9,"28,500",61,"54,700","11,940,900",62,60.6,,"200,000",
VPD,14.65,12.75,13.7,13.8,"2,500",13.85,"25,200",13.9,400,14.05,"1,000",0.35,2.6%,14.05,600,14.1,"3,200",14.15,"1,400","111,900",14.15,13.9,,,"52,180,913"
VPG,49.4,43,46.2,45.75,"5,100",45.8,"80,400",45.85,"28,800",45.85,"33,300",-0.35,-0.8%,46,"6,300",46.05,"1,000",46.1,"40,500","1,044,700",46.5,45.55,,,
VPH,5.76,5.02,5.39,5.27,900,5.28,"6,500",5.29,100,5.34,100,-0.05,-0.9%,5.32,500,5.33,"2,000",5.34,"5,900","147,200",5.39,5.25,,"6,000","35,419,864"
VPI,43.3,37.7,40.5,40.15,"2,300",40.2,"2,000",40.3,"1,700",40.4,"10,000",-0.10,-0.2%,40.4,"10,200",40.45,"7,100",40.5,"8,900","898,600",41,40.15,,"1,300","97,335,481"
VPS,15.9,13.9,14.9,14.6,"1,600",14.65,"1,300",14.7,300,14.7,"1,100",-0.20,-1.3%,15,100,15.1,"2,000",15.15,"1,000","13,600",15.1,14.6,,,"11,823,310"
VRC,7.47,6.51,6.99,7.45,"1,700",7.46,"6,900",7.47,"146,800",7.47,"11,200",0.48,6.9%,,,,,,,"379,900",7.47,6.99,"9,000","8,000","23,369,784"
VRE,29.9,26,27.95,27.85,"68,900",27.9,"100,600",27.95,"143,100",27.95,"265,000",0.00,0.0%,28,"33,700",28.05,500,28.1,"31,100","6,698,200",28.45,27.75,"1,168,300","2,955,900","431,305,490"
VSC,71.9,62.5,67.2,65.9,"1,000",66,"1,300",66.2,300,66.3,"5,600",-0.90,-1.3%,66.3,"6,700",66.4,300,66.7,500,"120,100",67.5,65.1,"3,500",,"23,261,944"
VSH,23.2,20.2,21.7,21.8,"4,400",21.85,200,21.9,200,21.95,400,0.25,1.2%,21.95,"1,900",22,"19,000",22.2,"13,100","54,800",22,21.7,,"3,700","88,161,164"
VSI,20.75,18.05,19.4,,,18.2,200,18.25,500,18.45,200,-0.95,-4.9%,18.5,800,19.55,"5,300",20.7,300,200,18.45,18.45,,,"6,381,940"
VTB,12.3,10.7,11.5,11,"2,000",11.25,"1,000",11.3,"1,500",11.35,100,-0.15,-1.3%,11.45,"2,900",11.6,"3,800",11.7,300,"1,800",11.6,11.35,,,"5,669,569"
VTO,9.83,8.55,9.19,9.14,"9,000",9.16,600,9.17,800,9.18,"4,200",-0.01,-0.1%,9.18,"1,600",9.19,"7,700",9.2,"5,200","216,300",9.2,9.12,,,"37,241,438"
YBM,7.22,6.28,6.75,6.72,300,6.75,"1,000",6.76,100,6.85,100,0.10,1.5%,6.82,"1,200",6.83,500,6.84,400,"13,000",6.88,6.66,,,"6,989,914"
YEG,17.35,15.15,16.25,17.2,"3,000",17.3,"20,700",17.35,"313,200",17.35,100,1.10,6.8%,,,,,,,"427,200",17.35,17.35,"45,000",,"23,330,117"
